"time","outputs[1]","outputs[2]"
0,25,20
0.001,25,20.00999998000003
0.002,25,20.01999856786296
0.003,25,20.02999576381325
0.004,25,20.03999156807549
0.005,25,20.04998598087411
0.006,25,20.05997900243352
0.007,25,20.06997063297808
0.008,25,20.0799608727321
0.009000000000000001,25,20.08994972191988
0.01,25,20.09993718076561
0.011,25,20.10992324949342
0.012,25,20.11990792832751
0.013,25,20.12989121749189
0.014,25,20.13987311721064
0.015,25,20.14985362770773
0.016,25,20.15983274920706
0.017,25,20.16981048193253
0.018,25,20.179786826108
0.019,25,20.1897617819572
0.02,25,20.19973534970393
0.021,25,20.20970752957186
0.022,25,20.21967832178467
0.023,25,20.22964772656593
0.024,25,20.2396157441392
0.025,25,20.24958237472799
0.026,25,20.25954761855576
0.027,25,20.26951147584595
0.028,25,20.27947394682184
0.029,25,20.28943503170683
0.03,25,20.29939473072415
0.031,25,20.30935304409701
0.032,25,20.31930997204864
0.033,25,20.3292655148021
0.034,25,20.3392196725805
0.035,25,20.34917244560688
0.036,25,20.3591238341042
0.037,25,20.36907383829544
0.038,25,20.37902245840343
0.039,25,20.38896969465105
0.04,25,20.39891554726114
0.041,25,20.4088600164564
0.042,25,20.41880310245949
0.043,25,20.42874480549312
0.044,25,20.4386851257799
0.045,25,20.44862406354235
0.046,25,20.45856161900304
0.047,25,20.46849779238443
0.048,25,20.4784325839089
0.049,25,20.48836599379882
0.05,25,20.49829802227657
0.051,25,20.5082286695644
0.052,25,20.51815793588452
0.053,25,20.52808582145911
0.054,25,20.53801232651034
0.055,25,20.54793745126028
0.056,25,20.55786119593097
0.057,25,20.56778356074443
0.058,25,20.57770454592259
0.059,25,20.58762415168735
0.06,25,20.59754237826058
0.061,25,20.60745922586409
0.062,25,20.61737469471962
0.063,25,20.6272887850489
0.064,25,20.63720149707359
0.065,25,20.64711283101531
0.066,25,20.65702278709568
0.067,25,20.66693136553619
0.068,25,20.67683856655827
0.06900000000000001,25,20.68674439038347
0.07000000000000001,25,20.69664883723306
0.07100000000000001,25,20.70655190732845
0.07200000000000001,25,20.71645360089093
0.073,25,20.72635391814174
0.074,25,20.73625285930206
0.075,25,20.74615042459305
0.076,25,20.75604661423586
0.077,25,20.76594142845147
0.078,25,20.77583486746096
0.079,25,20.78572693148527
0.08,25,20.79561762074536
0.081,25,20.80550693546206
0.082,25,20.81539487585621
0.083,25,20.82528144214859
0.08400000000000001,25,20.83516663455993
0.08500000000000001,25,20.84505045331093
0.08600000000000001,25,20.85493289862222
0.08700000000000001,25,20.86481397071441
0.08799999999999999,25,20.87469366980804
0.089,25,20.88457199612355
0.09,25,20.89444894988151
0.091,25,20.90432453130222
0.092,25,20.91419874060614
0.093,25,20.92407157801352
0.094,25,20.93394304374465
0.095,25,20.94381313801978
0.096,25,20.95368186105901
0.097,25,20.96354921308256
0.098,25,20.97341519431046
0.099,25,20.98327980496276
0.1,25,20.99314304525944
0.101,25,21.00300491542049
0.102,25,21.01286541566577
0.103,25,21.02272454621516
0.104,25,21.03258230728841
0.105,25,21.04243869910533
0.106,25,21.05229372188563
0.107,25,21.06214737584895
0.108,25,21.07199966121493
0.109,25,21.08185057820316
0.11,25,21.09170012703316
0.111,25,21.10154830792436
0.112,25,21.11139512109628
0.113,25,21.12124056676828
0.114,25,21.13108464515966
0.115,25,21.14092735648978
0.116,25,21.15076870097784
0.117,25,21.16060867884306
0.118,25,21.17044729030465
0.119,25,21.18028453558168
0.12,25,21.19012041489322
0.121,25,21.19995492845828
0.122,25,21.2097880764959
0.123,25,21.21961985922491
0.124,25,21.22945027686427
0.125,25,21.23927932963278
0.126,25,21.24910701774928
0.127,25,21.25893334143245
0.128,25,21.26875830090103
0.129,25,21.27858189637368
0.13,25,21.28840412806898
0.131,25,21.29822499620548
0.132,25,21.30804450100175
0.133,25,21.31786264267623
0.134,25,21.32767942144733
0.135,25,21.33749483753343
0.136,25,21.34730889115292
0.137,25,21.35712158252403
0.138,25,21.36693291186504
0.139,25,21.3767428793941
0.14,25,21.38655148532939
0.141,25,21.39635872988902
0.142,25,21.40616461329103
0.143,25,21.41596913575341
0.144,25,21.42577229749418
0.145,25,21.43557409873119
0.146,25,21.4453745396824
0.147,25,21.45517362056557
0.148,25,21.46497134159853
0.149,25,21.47476770299903
0.15,25,21.48456270498474
0.151,25,21.49435634777331
0.152,25,21.50414863158232
0.153,25,21.51393955662934
0.154,25,21.52372912313189
0.155,25,21.53351733130739
0.156,25,21.54330418137334
0.157,25,21.55308967354705
0.158,25,21.56287380804588
0.159,25,21.57265658508709
0.16,25,21.58243800488793
0.161,25,21.59221806766561
0.162,25,21.60199677363727
0.163,25,21.61177412301998
0.164,25,21.62155011603079
0.165,25,21.63132475288677
0.166,25,21.64109803380484
0.167,25,21.65086995900191
0.168,25,21.6606405286949
0.169,25,21.67040974310061
